"num_caso","SEX","FEC_NAC","FEC_RIG_PEN","MON_PENSION","Edad","T_Pension"
1,"F","1954/02/13","2019/02/23",139691.9,66,1
2,"F","1954/05/17","2012/06/13",134408.05,66,8
3,"F","1953/10/02","2013/10/05",324120,67,7
4,"M","1954/01/20","2016/07/24",324120,66,4
5,"M","1953/09/21","2015/12/10",29244.35,67,5
6,"M","1953/04/27","2015/05/29",164681.25,67,5
7,"M","1954/02/22","2016/01/23",150512.75,66,4
8,"M","1953/12/03","2015/12/26",324120,67,5
9,"F","1954/03/16","2014/03/22",251739.85,66,6
10,"F","1954/02/06","2014/02/22",324120,66,6
11,"F","1954/04/25","2014/11/03",126457.45,66,6
12,"F","1953/11/13","2014/02/18",178343.55,67,6
13,"F","1954/01/08","2014/01/11",153258.8,66,6
14,"M","1954/01/17","2015/12/26",324120,66,5
15,"F","1953/12/25","2014/01/25",88327.75,67,6
16,"M","1954/01/26","2015/12/26",131806.8,66,5
17,"F","1953/09/11","2014/01/03",203624.6,67,6
18,"M","1954/01/06","2016/06/14",174754.25,66,4
19,"F","1953/10/24","2013/10/04",164772.3,67,7
20,"M","1953/12/15","2017/09/30",318787,67,3
21,"M","1954/03/21","2016/03/05",140407.9,66,4
22,"F","1954/01/02","2019/04/03",197317.15,66,1
23,"F","1954/04/12","2014/05/07",324120,66,6
24,"M","1954/01/18","2016/01/23",143938.05,66,4
25,"M","1953/10/29","2015/11/02",112228.45,67,5
26,"M","1953/11/06","2015/10/31",162193.2,67,5
27,"F","1953/10/26","2013/09/26",165420.6,67,7
28,"F","1954/04/03","2019/04/27",72760.45,66,1
29,"M","1952/06/21","2014/06/21",84354.05,68,6
30,"F","1953/11/08","2013/11/19",164196.55,67,7
31,"M","1954/06/20","2016/06/20",77960.8,66,4
32,"F","1953/12/18","2018/09/01",324120,67,2
33,"F","1954/07/12","2015/04/06",151965.05,66,5
34,"F","1954/07/18","2014/06/27",136227.4,66,6
35,"M","1954/07/17","2018/09/01",324120,66,2
36,"F","1954/03/26","2014/03/21",122776.6,66,6
37,"M","1954/07/20","2016/07/01",201244.2,66,4
38,"F","1954/03/30","2014/05/03",100586.45,66,6
39,"M","1954/06/24","2018/06/25",318787,66,2
40,"M","1954/06/12","2016/07/26",324120,66,4
41,"M","1954/06/13","2017/01/21",100880.35,66,3
42,"F","1951/12/23","2011/12/30",324120,69,9
43,"M","1954/05/18","2016/06/25",324120,66,4
44,"F","1954/07/06","2014/07/04",291410.3,66,6
45,"M","1954/07/15","2016/07/23",238538.1,66,4
46,"M","1954/07/16","2016/06/26",108514.35,66,4
47,"M","1954/07/31","2016/10/01",324120,66,4
48,"M","1954/08/01","2017/08/01",29567,66,3
49,"M","1954/07/26","2016/07/23",282185.05,66,4
50,"M","1953/12/08","2019/10/26",324120,67,1
51,"M","1954/01/22","2016/02/20",82471.6,66,4
52,"M","1953/12/14","2016/01/05",64942.7,67,4
53,"F","1954/03/11","2015/03/02",108688.1,66,5
54,"F","1954/01/30","2014/02/26",139921.7,66,6
55,"F","1954/05/25","2014/07/12",133295.7,66,6
56,"F","1954/06/09","2014/05/27",324120,66,6
57,"F","1954/07/20","2017/01/21",322912,66,3
58,"M","1954/09/03","2016/12/12",282389.2,66,4
59,"M","1954/08/27","2018/07/20",32427,66,2
60,"F","1954/08/06","2014/11/01",78422.75,66,6
61,"F","1954/07/27","2015/07/01",162643.2,66,5
62,"M","1954/06/21","2016/05/28",105752.1,66,4
63,"M","1953/11/20","2015/10/20",144402.35,67,5
64,"F","1953/11/28","2014/01/25",311859.75,67,6
65,"F","1953/09/28","2014/03/03",55597.9,67,6
66,"M","1953/08/15","2016/01/23",172424,67,4
67,"M","1954/07/15","2016/07/23",104609.4,66,4
68,"M","1954/09/08","2016/08/21",175985.75,66,4
69,"F","1954/10/07","2019/10/26",81568.55,66,1
70,"F","1954/08/01","2016/05/28",34376.1,66,4
71,"M","1954/10/18","2016/09/27",315967.2,66,4
72,"M","1954/09/21","2017/01/21",89487.15,66,3
73,"M","1954/10/08","2016/09/08",115173.25,66,4
74,"M","1954/08/31","2016/11/30",150016.3,66,4
75,"M","1954/10/26","2016/12/24",108198.1,66,4
76,"F","1954/06/20","2014/05/21",136617.4,66,6
77,"F","1954/10/25","2014/11/01",175954.25,66,6
78,"M","1954/05/18","2017/01/24",322912,66,3
79,"M","1954/01/27","2016/01/23",324120,66,4
80,"M","1954/06/01","2016/05/28",145171.45,66,4
81,"F","1954/09/21","2014/09/29",324120,66,6
82,"F","1953/10/19","2015/08/19",324120,67,5
83,"M","1951/12/24","2015/05/24",324120,69,5
84,"F","1954/09/04","2015/01/19",169080.25,66,5
85,"F","1954/09/03","2015/07/29",181469.35,66,5
86,"M","1954/07/25","2016/07/23",324120,66,4
87,"F","1954/11/08","2015/03/07",223320.5,66,5
88,"M","1954/06/26","2016/11/27",72576.1,66,4
89,"F","1954/04/21","2014/03/21",149187.05,66,6
90,"M","1954/09/08","2016/09/08",324120,66,4
91,"F","1954/10/27","2014/11/02",116643.75,66,6
92,"F","1942/07/30","2006/12/08",323864.85,78,14
93,"F","1954/11/25","2017/06/24",320412.8,66,3
94,"F","1954/12/10","2014/11/15",324120,66,6
95,"M","1954/12/20","2016/11/26",297379.55,66,4
96,"F","1954/04/08","2014/03/11",315367.85,66,6
97,"M","1953/11/09","2016/01/23",183896.25,67,4
98,"F","1954/10/20","2014/09/20",102442.2,66,6
99,"F","1954/12/25","2014/12/25",54662.7,66,6
100,"F","1954/11/25","2015/01/30",322620.05,66,5
101,"M","1954/08/11","2016/07/23",158226.75,66,4
102,"F","1954/11/18","2016/01/23",207620.85,66,4
